"Currency Code",Rate
EUR,0.88817834621192
JPY,114.89475086597
BGN,1.7370992095213
CZK,22.599698019362
DKK,6.6048494537703
GBP,0.7477129407585
HUF,329.43423039346
PLN,4.1850075495159
RON,4.3960387245759
SEK,8.9999111821654
CHF,0.93187672084555
ISK,131.09512390088
NOK,8.9448441247002
HRK,6.6826538768985
RUB,75.051247890576
TRY,12.550492938982
AUD,1.3838706812328
BRL,5.6219912958522
CAD,1.272226663114
CNY,6.3898214761524
HKD,7.7932320810019
IDR,14272.297717382
ILS,3.1098676614264
INR,74.464428457234
KRW,1190.6918909317
MXN,21.118482991385
MYR,4.1990407673861
NZD,1.4424904520828
PHP,50.731858957279
SGD,1.3661071143086
THB,33.106847855049
ZAR,15.853095301537
